methods,Age,Number of sexual partners,First sexual intercourse,Num of pregnancies,Smokes,Smokes (years),Smokes (packs/year),Hormonal Contraceptives,Hormonal Contraceptives (years),IUD,IUD (years),STDs,STDs (number),STDs:condylomatosis,STDs:cervical condylomatosis,STDs:vaginal condylomatosis,STDs:vulvo-perineal condylomatosis,STDs:syphilis,STDs:pelvic inflammatory disease,STDs:genital herpes,STDs:molluscum contagiosum,STDs:AIDS,STDs:HIV,STDs:Hepatitis B,STDs:HPV,STDs: Number of diagnosis,STDs: Time since first diagnosis,STDs: Time since last diagnosis,Dx:CIN,Dx:HPV,Dx,Hinselmann,Schiller,Citology,Biopsy,VARB,VARC,VAR
Surrogates,-0.8963782908959181,0.0489667226940658,-0.0700175264892336,0.4098781213804053,0.2246968405872254,-0.5789273117790059,-0.072252432171707,-0.2302440189451346,0.4336138970934725,0.0313725888943489,-0.4300824804897471,-0.0258360471077238,0.0651269844529857,-0.0071661449680644,0.0246941312520664,-0.0319311509694336,0.000551766687275,0.0065008781075865,-0.0525672712516128,0.0351921367044541,-0.003334386039892,0.0043219173295763,0.0094243582812689,-0.0344607242197578,-0.0055805657797833,-0.0025361427171396,-0.0403116797209243,0.1529911869788423,0.0044676457457482,-3.4663034299577697,-1.2575737342197806,0.0128324676827186,-0.0126555916719276,-0.0056649462807205,0.0081217991069995,0.0504865376518397,-0.0335323846428266,-0.0113785416028192
KSHAP,-0.0179627196287612,0.0071489455712142,-0.0066411268069261,0.0025212558448661,0.0084931247274013,-0.011140293738557,0.0017347082185605,-0.0319182952019724,0.0335921971596177,0.0077655862113141,-0.0374022820371358,0.0043722699778757,0.0,-0.0017816141538713,0.0,0.0022611126029349,0.0,0.0,-0.0025539087557746,-0.0009916033114514,-0.0029941112807634,0.0,0.0025350864606468,-0.001321203652885,-0.0019459441832569,-0.0038834025326516,0.0020774137071764,0.0,0.0014978291890944,-0.2758586936122468,-0.1873924545260316,-0.0019489019988233,-0.0020205479064356,0.0033220462519788,0.0031957539316427,0.0065761711974417,0.0,-0.0036272645304066
DICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSHAP,-0.0192597567062547,0.0105132684705762,-0.0083636773966859,-0.0003161117084549,0.003983165457424,-0.0101082956374355,0.0007052425989323,-0.0349384647939147,0.0379659724869393,0.0038465748732762,-0.0358174856340452,0.0008122836280771,0.0008763029007021,0.0005047240920408,0.0013355339167084,0.000859025043493,-0.0001932583638268,0.0009006089690926,-0.0026844922891556,-0.0005524553593882,0.0005350550086501,-0.0001069494303539,-6.043563415133787e-05,-0.000102609446378,-0.0005376711069804,-0.0054905231684753,0.0002953100931792,3.0178647483365936e-05,-0.0002835632037881,-0.2746555173055992,-0.1861404751388272,-2.107194483740563e-05,7.24914621785969e-05,0.0025419751772805,0.004135815893052,0.0063985808288926,0.0012985397207144,-0.0022687054170085
LIME,-0.0213758190703417,0.0246521185209483,0.008168680290225,0.0119756027265393,0.039839967816512,-0.0086061212900229,0.0108400888609667,-0.0782130520590591,0.1114418329150403,0.0384760888274171,-0.0759107486419441,-0.0079213672768387,0.0201081657244754,0.0004158635899107,-0.0195851802916753,0.0212062778732449,0.003555866083142,-0.0077433682376194,-0.0132058871065122,-0.0072682659070354,-0.0087379458839381,-0.0090730023454686,0.005634415055283,-0.0047879721476463,0.0065884797911814,-0.0332146539279207,0.0102877489794567,-0.0354284106180892,-0.0115252921245672,-0.3002760502897411,-0.2176512014351127,-0.0034856668997943,0.0137441805654127,-0.001387194387394,0.03476842277628,0.0395027016975489,0.0109516242818151,-0.0329355886357282
DICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
