Classifier Name,Accuracy Score,Precision Score,Recall Score,F1 Score,AUROC,Confusion Matrix
LogisticRegression,0.9825581395348837,0.9811738648947951,0.9825581395348837,0.9816151799143816,0.7970059880239522,"[[166   1]
 [  2   3]]"
RandomForestClassifier,0.9941860465116279,0.9951550387596899,0.9941860465116279,0.9944415874648431,0.997005988023952,"[[166   1]
 [  0   5]]"
KNeighborsClassifier,0.9709302325581395,0.9427055164954029,0.9709302325581395,0.9566097276531522,0.5,"[[167   0]
 [  5   0]]"
SupportVectorClassifier,0.9825581395348837,0.9811738648947951,0.9825581395348837,0.9816151799143816,0.7970059880239522,"[[166   1]
 [  2   3]]"
MLPClassifier,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.897005988023952,"[[166   1]
 [  1   4]]"
